Country,Neighbor
Andorra,France
Andorra,Spain
United Arab Emirates,Oman
United Arab Emirates,Saudi Arabia
Afghanistan,China
Afghanistan,Iran (Islamic Republic of)
Afghanistan,Pakistan
Afghanistan,Tajikistan
Afghanistan,Turkmenistan
Afghanistan,Uzbekistan
Antigua and Barbuda,
Anguilla,
Albania,Greece
Albania,Montenegro
Albania,North Macedonia
Albania,Serbia
Armenia,Azerbaijan
Armenia,Georgia
Armenia,Iran (Islamic Republic of)
Armenia,Turkey
Angola,Congo
Angola,Congo (the Democratic Republic of the)
Angola,Namibia
Angola,Zambia
Antarctica,
Argentina,Bolivia (Plurinational State Of)
Argentina,Brazil
Argentina,Chile
Argentina,Paraguay
Argentina,Uruguay
American Samoa,
Austria,Czechia
Austria,Germany
Austria,Hungary
Austria,Italy
Austria,Liechtenstein
Austria,Slovakia
Austria,Slovenia
Austria,Switzerland
Australia,
Aruba,
Aland Islands,
Azerbaijan,Armenia
Azerbaijan,Georgia
Azerbaijan,Iran (Islamic Republic of)
Azerbaijan,Russian Federation
Azerbaijan,Turkey
Bosnia and Herzegovina,Croatia
Bosnia and Herzegovina,Montenegro
Bosnia and Herzegovina,Serbia
Barbados,
Bangladesh,India
Bangladesh,Myanmar
Belgium,France
Belgium,Germany
Belgium,Luxembourg
Belgium,Netherlands
Burkina Faso,Benin
Burkina Faso,Cote d’Ivoire
Burkina Faso,Ghana
Burkina Faso,Mali
Burkina Faso,Niger
Burkina Faso,Togo
Bulgaria,Greece
Bulgaria,North Macedonia
Bulgaria,Romania
Bulgaria,Serbia
Bulgaria,Turkey
Bahrain,
Burundi,Congo (the Democratic Republic of the)
Burundi,Rwanda
Burundi,Tanzania (the United Republic of)
Benin,Burkina Faso
Benin,Niger
Benin,Nigeria
Benin,Togo
Saint Barthelemy,
Bermuda,
Brunei Darussalam,Malaysia
Bolivia (Plurinational State Of),Argentina
Bolivia (Plurinational State Of),Brazil
Bolivia (Plurinational State Of),Chile
Bolivia (Plurinational State Of),Paraguay
Bolivia (Plurinational State Of),Peru
"Bonaire, Sint Eustatius and Saba",
Brazil,Argentina
Brazil,Bolivia (Plurinational State Of)
Brazil,Colombia
Brazil,French Guiana
Brazil,Guyana
Brazil,Paraguay
Brazil,Peru
Brazil,Suriname
Brazil,Uruguay
Brazil,Venezuela (Bolivarian Republic of)
Bahamas,
Bhutan,China
Bhutan,India
Bouvet Island,
Botswana,Namibia
Botswana,South Africa
Botswana,Zambia
Botswana,Zimbabwe
Belarus,Latvia
Belarus,Lithuania
Belarus,Poland
Belarus,Russian Federation
Belarus,Ukraine
Belize,Guatemala
Belize,Mexico
Canada,United States of America
Cocos (Keeling) Islands,
Congo (the Democratic Republic of the),Angola
Congo (the Democratic Republic of the),Burundi
Congo (the Democratic Republic of the),Central African Republic
Congo (the Democratic Republic of the),Congo
Congo (the Democratic Republic of the),Rwanda
Congo (the Democratic Republic of the),South Sudan
Congo (the Democratic Republic of the),Tanzania (the United Republic of)
Congo (the Democratic Republic of the),Uganda
Congo (the Democratic Republic of the),Zambia
Central African Republic,Cameroon
Central African Republic,Chad
Central African Republic,Congo
Central African Republic,Congo (the Democratic Republic of the)
Central African Republic,South Sudan
Central African Republic,Sudan
Congo,Angola
Congo,Cameroon
Congo,Central African Republic
Congo,Congo (the Democratic Republic of the)
Congo,Gabon
Switzerland,Austria
Switzerland,France
Switzerland,Germany
Switzerland,Italy
Switzerland,Liechtenstein
Cote d’Ivoire,Burkina Faso
Cote d’Ivoire,Ghana
Cote d’Ivoire,Guinea
Cote d’Ivoire,Liberia
Cote d’Ivoire,Mali
Cook Islands,
Chile,Argentina
Chile,Bolivia (Plurinational State Of)
Chile,Peru
Cameroon,Central African Republic
Cameroon,Chad
Cameroon,Congo
Cameroon,Equatorial Guinea
Cameroon,Gabon
Cameroon,Nigeria
China,Afghanistan
China,Bhutan
China,Hong Kong
China,India
China,Kazakhstan
China,Korea (Democratic People's Republic of)
China,Kyrgyzstan
China,Lao People's Democratic Republic
China,Macao
China,Mongolia
China,Myanmar
China,Nepal
China,Pakistan
China,Russian Federation
China,Tajikistan
China,Viet Nam
Colombia,Brazil
Colombia,Ecuador
Colombia,Panama
Colombia,Peru
Colombia,Venezuela (Bolivarian Republic of)
Costa Rica,Nicaragua
Costa Rica,Panama
Cuba,
Cabo Verde,
Curacao,
Christmas Island,
Cyprus,
Czechia,Austria
Czechia,Germany
Czechia,Poland
Czechia,Slovakia
Germany,Austria
Germany,Belgium
Germany,Czechia
Germany,Denmark
Germany,France
Germany,Luxembourg
Germany,Netherlands
Germany,Poland
Germany,Switzerland
Djibouti,Eritrea
Djibouti,Ethiopia
Djibouti,Somalia
Denmark,Germany
Dominica,
Dominican Republic,Haiti
Algeria,Libya
Algeria,Mali
Algeria,Mauritania
Algeria,Morocco
Algeria,Niger
Algeria,Tunisia
Algeria,Western Sahara
Ecuador,Colombia
Ecuador,Peru
Estonia,Latvia
Estonia,Russian Federation
Egypt,Israel
Egypt,Libya
Egypt,"Palestine, State of"
Egypt,Sudan
Western Sahara,Algeria
Western Sahara,Mauritania
Western Sahara,Morocco
Eritrea,Djibouti
Eritrea,Ethiopia
Eritrea,Sudan
Spain,Andorra
Spain,France
Spain,Gibraltar
Spain,Morocco
Spain,Portugal
Ethiopia,Djibouti
Ethiopia,Eritrea
Ethiopia,Kenya
Ethiopia,Somalia
Ethiopia,South Sudan
Ethiopia,Sudan
Finland,Norway
Finland,Russian Federation
Finland,Sweden
Fiji,
Falkland Islands (Malvinas),
Micronesia (Federated States of),
Faroe Islands,
France,Andorra
France,Belgium
France,Germany
France,Italy
France,Luxembourg
France,Monaco
France,Spain
France,Switzerland
Gabon,Cameroon
Gabon,Congo
Gabon,Equatorial Guinea
United Kingdom of Great Britain and Northern Ireland,Ireland
Grenada,
Georgia,Armenia
Georgia,Azerbaijan
Georgia,Russian Federation
Georgia,Turkey
French Guiana,Brazil
French Guiana,Suriname
Guernsey,
Ghana,Burkina Faso
Ghana,Cote d’Ivoire
Ghana,Togo
Gibraltar,Spain
Greenland,
Gambia (the),Senegal
Guinea,Cote d’Ivoire
Guinea,Guinea-Bissau
Guinea,Liberia
Guinea,Mali
Guinea,Senegal
Guinea,Sierra Leone
Guadeloupe,
Equatorial Guinea,Cameroon
Equatorial Guinea,Gabon
Greece,Albania
Greece,Bulgaria
Greece,North Macedonia
Greece,Turkey
South Georgia and the South Sandwich Islands,
Guatemala,Belize
Guatemala,El Salvador
Guatemala,Honduras
Guatemala,Mexico
Guam,
Guinea-Bissau,Guinea
Guinea-Bissau,Senegal
Guyana,Brazil
Guyana,Suriname
Guyana,Venezuela (Bolivarian Republic of)
Hong Kong,China
Heard Island and McDonald Islands,
Honduras,El Salvador
Honduras,Guatemala
Honduras,Nicaragua
Croatia,Bosnia and Herzegovina
Croatia,Hungary
Croatia,Montenegro
Croatia,Serbia
Croatia,Slovenia
Haiti,Dominican Republic
Hungary,Austria
Hungary,Croatia
Hungary,Romania
Hungary,Serbia
Hungary,Slovakia
Hungary,Slovenia
Hungary,Ukraine
Indonesia,Malaysia
Indonesia,Papua New Guinea
Indonesia,Timor-Leste
Ireland,United Kingdom of Great Britain and Northern Ireland
Israel,Egypt
Israel,Jordan
Israel,Lebanon
Israel,"Palestine, State of"
Israel,Syrian Arab Republic
Isle of Man,
India,Bangladesh
India,Bhutan
India,China
India,Myanmar
India,Nepal
India,Pakistan
British Indian Ocean Territory,
Iraq,Iran (Islamic Republic of)
Iraq,Jordan
Iraq,Kuwait
Iraq,Saudi Arabia
Iraq,Syrian Arab Republic
Iraq,Turkey
Iran (Islamic Republic of),Afghanistan
Iran (Islamic Republic of),Armenia
Iran (Islamic Republic of),Azerbaijan
Iran (Islamic Republic of),Iraq
Iran (Islamic Republic of),Pakistan
Iran (Islamic Republic of),Turkey
Iran (Islamic Republic of),Turkmenistan
Iceland,
Italy,Austria
Italy,France
Italy,San Marino
Italy,Slovenia
Italy,Switzerland
Italy,Holy See
Jersey,
Jamaica,
Jordan,Iraq
Jordan,Israel
Jordan,"Palestine, State of"
Jordan,Saudi Arabia
Jordan,Syrian Arab Republic
Japan,
Kenya,Ethiopia
Kenya,Somalia
Kenya,South Sudan
Kenya,Tanzania (the United Republic of)
Kenya,Uganda
Kyrgyzstan,China
Kyrgyzstan,Kazakhstan
Kyrgyzstan,Tajikistan
Kyrgyzstan,Uzbekistan
Cambodia,Lao People's Democratic Republic
Cambodia,Thailand
Cambodia,Viet Nam
Kiribati,
Comoros,
Saint Kitts and Nevis,
Korea (Democratic People's Republic of),China
Korea (Democratic People's Republic of),Korea (the Republic of)
Korea (Democratic People's Republic of),Russian Federation
Korea (the Republic of),Korea (Democratic People's Republic of)
Kuwait,Iraq
Kuwait,Saudi Arabia
Cayman Islands,
Kazakhstan,China
Kazakhstan,Kyrgyzstan
Kazakhstan,Russian Federation
Kazakhstan,Turkmenistan
Kazakhstan,Uzbekistan
Lao People's Democratic Republic,China
Lao People's Democratic Republic,Cambodia
Lao People's Democratic Republic,Myanmar
Lao People's Democratic Republic,Thailand
Lao People's Democratic Republic,Viet Nam
Lebanon,Israel
Lebanon,Syrian Arab Republic
Saint Lucia,
Liechtenstein,Austria
Liechtenstein,Switzerland
Sri Lanka,
Liberia,Cote d’Ivoire
Liberia,Guinea
Liberia,Sierra Leone
Lesotho,South Africa
Lithuania,Belarus
Lithuania,Latvia
Lithuania,Poland
Lithuania,Russian Federation
Luxembourg,Belgium
Luxembourg,Germany
Luxembourg,France
Latvia,Belarus
Latvia,Estonia
Latvia,Lithuania
Latvia,Russian Federation
Libya,Algeria
Libya,Chad
Libya,Egypt
Libya,Niger
Libya,Sudan
Libya,Tunisia
Morocco,Algeria
Morocco,Spain
Morocco,Western Sahara
Monaco,France
Moldova (the Republic of),Romania
Moldova (the Republic of),Ukraine
Montenegro,Albania
Montenegro,Bosnia and Herzegovina
Montenegro,Croatia
Montenegro,Serbia
Saint Martin (French part),Sint Maarten (Dutch part)
Madagascar,
Marshall Islands,
North Macedonia,Albania
North Macedonia,Bulgaria
North Macedonia,Greece
North Macedonia,Serbia
Mali,Algeria
Mali,Burkina Faso
Mali,Cote d’Ivoire
Mali,Guinea
Mali,Mauritania
Mali,Niger
Mali,Senegal
Myanmar,Bangladesh
Myanmar,China
Myanmar,India
Myanmar,Lao People's Democratic Republic
Myanmar,Thailand
Mongolia,China
Mongolia,Russian Federation
Macao,China
Northern Mariana Islands,
Martinique,
Mauritania,Algeria
Mauritania,Mali
Mauritania,Senegal
Mauritania,Western Sahara
Montserrat,
Malta,
Mauritius,
Maldives,
Malawi,Mozambique
Malawi,Tanzania (the United Republic of)
Malawi,Zambia
Mexico,Belize
Mexico,Guatemala
Mexico,United States of America
Malaysia,Brunei Darussalam
Malaysia,Indonesia
Malaysia,Thailand
Mozambique,Malawi
Mozambique,Eswatini
Mozambique,South Africa
Mozambique,Tanzania (the United Republic of)
Mozambique,Zambia
Mozambique,Zimbabwe
Namibia,Angola
Namibia,Botswana
Namibia,South Africa
Namibia,Zambia
New Caledonia,
Niger,Algeria
Niger,Benin
Niger,Burkina Faso
Niger,Chad
Niger,Libya
Niger,Mali
Niger,Nigeria
Norfolk Island,
Nigeria,Benin
Nigeria,Cameroon
Nigeria,Chad
Nigeria,Niger
Nicaragua,Costa Rica
Nicaragua,Honduras
Netherlands,Belgium
Netherlands,Germany
Norway,Finland
Norway,Russian Federation
Norway,Sweden
Nepal,China
Nepal,India
Nauru,
Niue,
New Zealand,
Oman,United Arab Emirates
Oman,Saudi Arabia
Oman,Yemen
Panama,Colombia
Panama,Costa Rica
Peru,Bolivia (Plurinational State Of)
Peru,Brazil
Peru,Chile
Peru,Colombia
Peru,Ecuador
French Polynesia,
Papua New Guinea,Indonesia
Philippines,
Pakistan,Afghanistan
Pakistan,China
Pakistan,India
Pakistan,Iran (Islamic Republic of)
Poland,Belarus
Poland,Czechia
Poland,Germany
Poland,Lithuania
Poland,Russian Federation
Poland,Slovakia
Poland,Ukraine
Saint Pierre and Miquelon,
Pitcairn,
Puerto Rico,
"Palestine, State of",Egypt
"Palestine, State of",Israel
"Palestine, State of",Jordan
Portugal,Spain
Palau,
Paraguay,Argentina
Paraguay,Bolivia (Plurinational State Of)
Paraguay,Brazil
Qatar,Saudi Arabia
Reunion,
Romania,Bulgaria
Romania,Hungary
Romania,Moldova (the Republic of)
Romania,Serbia
Romania,Ukraine
Serbia,Albania
Serbia,Bosnia and Herzegovina
Serbia,Bulgaria
Serbia,Croatia
Serbia,Hungary
Serbia,Montenegro
Serbia,North Macedonia
Serbia,Romania
Russian Federation,Azerbaijan
Russian Federation,Belarus
Russian Federation,China
Russian Federation,Estonia
Russian Federation,Finland
Russian Federation,Georgia
Russian Federation,Kazakhstan
Russian Federation,Korea (Democratic People's Republic of)
Russian Federation,Latvia
Russian Federation,Lithuania
Russian Federation,Mongolia
Russian Federation,Norway
Russian Federation,Poland
Russian Federation,Ukraine
Rwanda,Burundi
Rwanda,Congo (the Democratic Republic of the)
Rwanda,Tanzania (the United Republic of)
Rwanda,Uganda
Saudi Arabia,Iraq
Saudi Arabia,Jordan
Saudi Arabia,Kuwait
Saudi Arabia,Oman
Saudi Arabia,Qatar
Saudi Arabia,United Arab Emirates
Saudi Arabia,Yemen
Solomon Islands,
Seychelles,
Sudan,Central African Republic
Sudan,Chad
Sudan,Egypt
Sudan,Ethiopia
Sudan,Eritrea
Sudan,Libya
Sudan,South Sudan
Sweden,Finland
Sweden,Norway
Singapore,
"Saint Helena, Ascension and Tristan da Cunha",
Slovenia,Austria
Slovenia,Croatia
Slovenia,Hungary
Slovenia,Italy
Svalbard and Jan Mayen,
Slovakia,Austria
Slovakia,Czechia
Slovakia,Hungary
Slovakia,Poland
Slovakia,Ukraine
Sierra Leone,Guinea
Sierra Leone,Liberia
San Marino,Italy
Senegal,Gambia (the)
Senegal,Guinea
Senegal,Guinea-Bissau
Senegal,Mali
Senegal,Mauritania
Somalia,Djibouti
Somalia,Ethiopia
Somalia,Kenya
Suriname,Brazil
Suriname,French Guiana
Suriname,Guyana
South Sudan,Central African Republic
South Sudan,Congo (the Democratic Republic of the)
South Sudan,Ethiopia
South Sudan,Kenya
South Sudan,Sudan
South Sudan,Uganda
Sao Tome and Principe,
El Salvador,Guatemala
El Salvador,Honduras
Sint Maarten (Dutch part),Saint Martin (French part)
Syrian Arab Republic,Iraq
Syrian Arab Republic,Israel
Syrian Arab Republic,Jordan
Syrian Arab Republic,Lebanon
Syrian Arab Republic,Turkey
Eswatini,Mozambique
Eswatini,South Africa
Turks and Caicos Islands,
Chad,Cameroon
Chad,Central African Republic
Chad,Libya
Chad,Niger
Chad,Nigeria
Chad,Sudan
French Southern Territories,
Togo,Benin
Togo,Burkina Faso
Togo,Ghana
Thailand,Cambodia
Thailand,Lao People's Democratic Republic
Thailand,Malaysia
Thailand,Myanmar
Tajikistan,Afghanistan
Tajikistan,China
Tajikistan,Kyrgyzstan
Tajikistan,Uzbekistan
Tokelau,
Timor-Leste,Indonesia
Turkmenistan,Afghanistan
Turkmenistan,Iran (Islamic Republic of)
Turkmenistan,Kazakhstan
Turkmenistan,Uzbekistan
Tunisia,Algeria
Tunisia,Libya
Tonga,
Turkey,Armenia
Turkey,Azerbaijan
Turkey,Bulgaria
Turkey,Georgia
Turkey,Greece
Turkey,Iran (Islamic Republic of)
Turkey,Iraq
Turkey,Syrian Arab Republic
Trinidad and Tobago,
Tuvalu,
Taiwan (Province of China),
Tanzania (the United Republic of),Burundi
Tanzania (the United Republic of),Congo (the Democratic Republic of the)
Tanzania (the United Republic of),Kenya
Tanzania (the United Republic of),Malawi
Tanzania (the United Republic of),Mozambique
Tanzania (the United Republic of),Rwanda
Tanzania (the United Republic of),Uganda
Tanzania (the United Republic of),Zambia
Ukraine,Belarus
Ukraine,Hungary
Ukraine,Moldova (the Republic of)
Ukraine,Poland
Ukraine,Romania
Ukraine,Russian Federation
Ukraine,Slovakia
Uganda,Congo (the Democratic Republic of the)
Uganda,Kenya
Uganda,Rwanda
Uganda,South Sudan
Uganda,Tanzania (the United Republic of)
United States Minor Outlying Islands,
United States of America,Canada
United States of America,Mexico
Uruguay,Argentina
Uruguay,Brazil
Uzbekistan,Afghanistan
Uzbekistan,Kazakhstan
Uzbekistan,Kyrgyzstan
Uzbekistan,Tajikistan
Uzbekistan,Turkmenistan
Holy See,Italy
Saint Vincent and the Grenadines,
Venezuela (Bolivarian Republic of),Brazil
Venezuela (Bolivarian Republic of),Colombia
Venezuela (Bolivarian Republic of),Guyana
Virgin Islands (British),
Virgin Islands (U.S.),
Viet Nam,Cambodia
Viet Nam,China
Viet Nam,Lao People's Democratic Republic
Vanuatu,
Wallis and Futuna,
Samoa,
Yemen,Oman
Yemen,Saudi Arabia
Mayotte,
South Africa,Botswana
South Africa,Lesotho
South Africa,Mozambique
South Africa,Namibia
South Africa,Eswatini
South Africa,Zimbabwe
Zambia,Angola
Zambia,Botswana
Zambia,Congo (the Democratic Republic of the)
Zambia,Malawi
Zambia,Mozambique
Zambia,Namibia
Zambia,Tanzania (the United Republic of)
Zambia,Zimbabwe
Zimbabwe,Botswana
Zimbabwe,Mozambique
Zimbabwe,South Africa
Zimbabwe,Zambia